"","lod"
"1",1.616355695595
"2",1.75998283691315
"3",1.03745276122226
"4",2.15996535716521
"5",1.62998808623344
"6",1.63354230689907
"7",2.26877363127552
"8",2.62800279975527
"9",1.87230190792789
"10",2.6167269089419
"11",1.97596358086216
"12",1.4979562661473
"13",2.32945666833483
"14",1.93225587063141
"15",1.28354590074623
"16",2.41433054245667
"17",0.99227569780696
"18",2.70679167409656
"19",3.16005112295019
"20",1.62525788615015
"21",1.68116363793536
"22",1.13460277210622
"23",2.8153711541207
"24",2.75069912820825
"25",1.49416509002194
"26",2.61443744395559
"27",3.5795902154517
"28",1.95523519357313
"29",1.66473342628296
"30",2.38756633744238
"31",1.43474218916418
"32",3.29003747633914
"33",1.25907461297479
"34",1.64235483136738
"35",2.29685028755168
"36",1.23228576358495
"37",1.02406308015227
"38",2.23993920233711
"39",2.13836710754356
"40",1.79466120246033
"41",1.87561796204808
"42",1.68790297672473
"43",2.40411497958377
"44",2.8432723319994
"45",2.8682130475143
"46",2.0099109847895
"47",3.62509892749178
"48",1.57690946055116
"49",2.07201179564358
"50",2.91699303206092
"51",2.39009497342781
"52",1.90814814297289
"53",1.91860146383503
"54",1.23826282209184
"55",1.3717618349509
"56",2.04361973998658
"57",1.94823865433375
"58",1.90630082662842
"59",2.41762815504819
"60",3.33124965625046
"61",1.47429797661782
"62",2.47902176174074
"63",1.72421488449665
"64",3.13105306334005
"65",1.71041435293404
"66",4.45616954243913
"67",1.87316933428077
"68",1.80420815730905
"69",1.46582356262292
"70",2.18881606529875
"71",2.14892712542907
"72",1.90964700134265
"73",1.90055249690427
"74",1.80811527187961
"75",1.7300481182946
"76",2.45026961880838
"77",1.83924120813522
"78",1.67939530053012
"79",1.40604476258939
"80",1.69677426519212
"81",3.18185453086279
"82",1.5781147084699
"83",1.86506248649779
"84",1.74601584665156
"85",2.15070154967347
"86",1.9530059437986
"87",1.2766436156186
"88",2.71827777587472
"89",2.06189833448846
"90",3.07998788465396
"91",1.75402423801789
"92",1.72967545424713
"93",1.24201759685528
"94",2.05053675887908
"95",2.47770490234929
"96",1.85864932417331
"97",2.44993731919097
"98",2.55342350936911
"99",1.51521433847954
"100",1.47567464303205
"101",1.52121481047541
"102",1.92422431304949
"103",1.52132566251095
"104",2.45784237092197
"105",1.62912734174884
"106",1.77116436679086
"107",2.91481972109816
"108",1.90941309025453
"109",1.26120182501697
"110",1.24612883447072
"111",3.83197118354957
"112",2.29383890288524
"113",2.16794507363431
"114",1.79224572454496
"115",2.0054253034521
"116",1.83685290351021
"117",1.98843940737665
"118",2.97445786319118
"119",2.68565951708517
"120",2.38337435695122
"121",1.5201271593762
"122",2.17375316567153
"123",1.92085857362635
"124",2.19030345066081
"125",2.27284361756489
"126",1.53569205869944
"127",5.29562413427576
"128",2.00289827619433
"129",2.10311955883482
"130",2.16514158944821
"131",2.27842499023946
"132",2.83641453745587
"133",3.84784535583287
"134",2.26276730939043
"135",1.5639168615032
"136",2.02832846048888
"137",2.1532394324489
"138",1.57654542385326
"139",1.4528586518804
"140",3.04708765060283
"141",3.07683729442084
"142",1.30942867136922
"143",1.11320394086673
"144",1.76191411556874
"145",1.89447381837459
"146",2.39543916854318
"147",1.18533494770408
"148",1.30633880199402
"149",2.59794776579199
"150",1.23936891879721
"151",2.67494454608126
"152",2.64544201956075
"153",1.94382662958958
"154",1.90314100447796
"155",1.9236222245524
"156",2.20288282833914
"157",1.50633482960934
"158",2.34937827507011
"159",1.63796183840216
"160",3.63297711763559
"161",1.24509598540959
"162",1.71463577366283
"163",2.15419707211753
"164",1.46110004730146
"165",3.16274238112939
"166",1.2646665625772
"167",1.70950523913173
"168",2.09866773035071
"169",2.47430274268804
"170",1.56035327064602
"171",1.9796263245821
"172",2.28899940061666
"173",1.96575057913681
"174",1.70723656497385
"175",1.58791746950622
"176",3.03639102434718
"177",1.14539931185773
"178",2.75171272465609
"179",3.49418703681629
"180",1.397290088704
"181",1.8200687378466
"182",1.68518273473592
"183",1.88945805323162
"184",1.04412093799388
"185",1.96918262272382
"186",2.06894225257126
"187",1.44189995817571
"188",3.04757963540466
"189",2.65293725516874
"190",1.7076770690102
"191",1.22166193671428
"192",1.60395588767454
"193",1.57633834348584
"194",1.54075485456812
"195",3.42129303801167
"196",1.85870324117012
"197",1.44094813745511
"198",1.50071897777224
"199",3.4348909984832
"200",2.10926657378766
"201",2.32055903265612
"202",2.10162232459123
"203",1.83155432530212
"204",1.68147052755081
"205",2.11483281413399
"206",1.59568560458381
"207",1.50720562377738
"208",1.94584848823705
"209",1.73330117650326
"210",1.87500290804233
"211",2.04448553564102
"212",1.91480111417168
"213",1.92819159509001
"214",1.94846447623689
"215",2.0931770732854
"216",2.62648429367418
"217",2.79216048402198
"218",2.09316519432242
"219",1.37359834640765
"220",3.20965112592278
"221",1.79610654509109
"222",3.706346144135
"223",1.42994122941577
"224",1.96392943336129
"225",3.05360665094912
"226",2.10214094260797
"227",1.74583518196026
"228",2.00899943046502
"229",1.41759211740906
"230",1.9167592357
"231",4.31033758326211
"232",2.15245033934147
"233",2.18691086613555
"234",2.0064349475677
"235",1.92580660585342
"236",2.11892937611648
"237",1.78892779437776
"238",1.60757452133632
"239",1.82059940731251
"240",1.9462779303108
"241",2.07922531675614
"242",1.9676074883824
"243",1.68082465903407
"244",4.89126827502061
"245",1.93648981630673
"246",1.81172309598767
"247",1.85524876462544
"248",1.26331401522148
"249",2.23628283996449
"250",2.8138617943353
"251",1.66394207261183
"252",1.36808809678858
"253",1.83240022834268
"254",1.41324623429668
"255",1.12740203848963
"256",3.89837584694162
"257",2.42327526429847
"258",1.53862489245755
"259",1.95890930065198
"260",1.65184426338514
"261",1.2245785320564
"262",1.12102407130185
"263",1.59430839697612
"264",1.53276508142854
"265",1.96131719319411
"266",1.39963841689655
"267",2.41793930358006
"268",3.36722356674819
"269",1.59463112892729
"270",1.84141657632397
"271",2.8790100790677
"272",2.38160039001231
"273",2.39997425954711
"274",1.70779263454807
"275",2.02261587125651
"276",2.30384662389544
"277",1.07763451371787
"278",1.73895170850261
"279",1.69664868628094
"280",1.97967955466142
"281",1.28401831290265
"282",3.01885896914497
"283",1.27605438329519
"284",4.0330993523739
"285",1.77259077388467
"286",3.59356135500857
"287",3.12547447697261
"288",2.69745621082456
"289",1.77203739935273
"290",2.23402208641656
"291",1.70997091063187
"292",2.01048290001376
"293",2.7198839900157
"294",2.19376001319884
"295",3.10940128673174
"296",1.59794825911959
"297",2.53577245441703
"298",2.46898703532018
"299",2.35833899248834
