task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
222	66/732023	3018359	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (WT_REP1)	COMPLETED	0	2026-09-14 11:34:59.974	1.9s	1.6s	156.6%	44.2 MB	1.2 GB	18.6 MB	659 B
217	af/8486a7	3018875	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (WT_REP1)	COMPLETED	0	2026-09-14 11:35:01.346	2s	1.6s	162.9%	82.5 MB	2.4 GB	24.7 MB	27.2 KB
226	91/db44ad	3019564	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (WT_REP1)	COMPLETED	0	2026-09-14 11:35:03.307	326ms	0ms	68.2%	6.1 MB	18.2 MB	316.8 KB	246.7 KB
223	de/c9d720	3019122	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (WT_REP1)	COMPLETED	0	2026-09-14 11:35:01.925	2s	1.7s	183.1%	103 MB	2.4 GB	24.8 MB	104.5 KB
227	1d/db2b16	3019911	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (WT_REP1)	COMPLETED	0	2026-09-14 11:35:03.640	404ms	1s	69.4%	6.1 MB	18.2 MB	367.1 KB	297 KB
228	b1/73bfda	3020021	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (WT_REP1)	COMPLETED	0	2026-09-14 11:35:03.891	327ms	0ms	64.5%	6 MB	18.2 MB	599 KB	528.9 KB
232	b3/07b6b5	3020399	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (WT_REP1)	COMPLETED	0	2026-09-14 11:35:04.241	402ms	0ms	44.0%	9.6 MB	25.1 MB	1002.1 KB	131.5 KB
231	9b/54e4cb	3020395	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (WT_REP1)	COMPLETED	0	2026-09-14 11:35:04.234	414ms	0ms	48.0%	3.2 MB	4.3 MB	840.1 KB	118.5 KB
230	7c/c93165	3020391	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:CUSTOM_MULTIQCCUSTOMBIOTYPE (WT_REP1)	COMPLETED	0	2026-09-14 11:35:04.226	444ms	0ms	42.5%	2.6 MB	9.8 MB	1.2 MB	1.1 KB
233	84/e8e0a7	3020401	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDGRAPHTOBIGWIG (WT_REP1)	COMPLETED	0	2026-09-14 11:35:04.248	441ms	0ms	62.2%	8.2 MB	24.8 MB	1.6 MB	188.7 KB
229	92/2d4abc	3020203	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:QUALIMAP_RNASEQ (WT_REP1)	COMPLETED	0	2026-09-14 11:35:04.052	3.2s	3s	224.7%	241.9 MB	15.1 GB	23.5 MB	453.4 KB
234	3f/4739d8	3021352	NFCORE_RNASEQ:RNASEQ:MULTIQC_RNASEQ:MULTIQC (multiqc_report)	COMPLETED	0	2026-09-14 11:35:07.463	52s	50.6s	23.4%	1.1 GB	14.6 GB	92.2 MB	45.1 MB
