task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
49	75/b56728	2950308	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (WT_REP2)	COMPLETED	0	2026-09-14 11:30:18.341	1m 21s	1m 20s	99.3%	907.3 MB	4.9 GB	51 MB	10.5 MB
52	30/42b7a2	2951712	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:30:26.753	1m 18s	1m 18s	99.4%	914.2 MB	4.9 GB	51.1 MB	11.2 MB
55	38/124217	2958528	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:31:45.173	1.4s	1s	52.3%	279.7 MB	407.2 MB	3.6 MB	34 KB
57	d4/9ec694	2958928	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT_REP1)	COMPLETED	0	2026-09-14 11:31:46.604	1.6s	1s	191.0%	4.1 MB	21.4 MB	9.2 MB	24.8 KB
58	c9/886ba5	2959401	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:31:48.215	597ms	319ms	162.4%	9.4 MB	17.4 MB	12.6 MB	9 MB
54	35/ded4e2	2957372	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:31:38.886	11.4s	11.1s	96.8%	888.5 MB	4.9 GB	26.7 MB	5.7 MB
60	dd/2ead03	2960176	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (WT_REP2)	COMPLETED	0	2026-09-14 11:31:50.343	570ms	279ms	192.0%	42.4 MB	3.4 GB	11.7 MB	8.9 MB
59	62/b37ce7	2959626	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:31:48.821	3.2s	2s	119.1%	765.1 MB	942.5 MB	5.8 MB	28.6 KB
62	7a/b42b2b	2960735	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:31:52.049	596ms	296ms	196.8%	43.1 MB	3.6 GB	12.4 MB	9.4 MB
61	80/16dfcd	2960411	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (WT_REP2)	COMPLETED	0	2026-09-14 11:31:50.922	3.2s	3s	97.1%	954.5 MB	1 GB	5.2 MB	30.4 KB
64	f9/e22e69	2961336	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:SALMON_QUANT (WT_REP1)	COMPLETED	0	2026-09-14 11:31:54.161	1.2s	1s	194.2%	4.3 MB	23.5 MB	10.8 MB	35.8 KB
63	17/668a0e	2961019	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:31:52.803	3.1s	2s	115.8%	954.7 MB	1 GB	5.6 MB	30.6 KB
69	a2/229a98	2961802	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2026-09-14 11:31:55.962	444ms	154ms	41.1%	7.6 MB	212.9 MB	3.3 MB	3.8 KB
66	54/369f7b	2961801	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:31:55.952	578ms	271ms	31.3%	7.4 MB	212.1 MB	3.1 MB	4.4 KB
70	a5/d60372	2962159	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:CUSTOM_TX2GENE (null)	COMPLETED	0	2026-09-14 11:31:56.413	458ms	0ms	56.2%	2.2 MB	7.5 MB	1.2 MB	3.3 KB
71	ff/8415fc	2962218	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:31:56.540	527ms	228ms	36.8%	7.9 MB	212.9 MB	3.6 MB	4 KB
74	6a/d2677e	2962233	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (WT_REP2)	COMPLETED	0	2026-09-14 11:31:56.553	714ms	294ms	69.6%	8.2 MB	210.6 MB	3.3 MB	77.5 KB
73	ba/85f12a	2962697	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_REP2)	COMPLETED	0	2026-09-14 11:31:56.880	460ms	136ms	38.6%	3.4 MB	4.6 MB	285.3 KB	2.6 KB
77	df/2c9c2d	2962877	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:31:57.089	460ms	148ms	24.1%	3.4 MB	4.6 MB	285.9 KB	2.6 KB
76	db/92e6ac	2962874	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (WT_REP2)	COMPLETED	0	2026-09-14 11:31:57.076	509ms	176ms	41.1%	7.6 MB	209.1 MB	3.3 MB	3.1 KB
79	1b/c763f8	2963124	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:31:57.275	509ms	172ms	47.4%	7.4 MB	209.1 MB	3 MB	3.1 KB
78	52/f90985	2963182	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:31:57.347	669ms	305ms	67.2%	7.9 MB	210.6 MB	3.1 MB	52 KB
83	ed/a0782b	2963526	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:31:57.564	515ms	188ms	43.9%	7.2 MB	209.1 MB	3.5 MB	3.1 KB
81	7c/b772b2	2963554	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:31:57.601	628ms	298ms	69.4%	8.2 MB	210.6 MB	3.6 MB	76.3 KB
82	1e/191d7c	2963851	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:31:57.793	450ms	131ms	27.0%	3.4 MB	4.6 MB	285.5 KB	2.6 KB
68	07/511e2e	2964432	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:31:58.255	496ms	218ms	138.6%	28.9 MB	3.6 GB	6.4 MB	4.6 MB
67	fe/f25ffd	2964654	NFCORE_RNASEQ:RNASEQ:QUANTIFY_BAM_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:31:58.760	3.1s	2s	76.9%	755.4 MB	937.5 MB	3.1 MB	28.4 KB
72	20/68cb3b	2965355	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:TXIMETA_TXIMPORT (all_samples)	COMPLETED	0	2026-09-14 11:32:01.906	9.6s	9s	91.4%	443.9 MB	1.5 GB	27.5 MB	63.1 KB
75	1d/cb8311	2966391	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (WT_REP2)	COMPLETED	0	2026-09-14 11:32:11.516	7.2s	6.5s	179.1%	3.9 GB	16 GB	28.4 MB	4.1 MB
80	e0/a6c180	2967736	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:18.717	6.1s	5.7s	217.0%	3.9 GB	16 GB	27.9 MB	3.8 MB
84	57/5c064b	2968846	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:24.835	6.1s	5.8s	215.1%	3.9 GB	16 GB	28.9 MB	4.3 MB
85	42/a33261	2969982	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:32:30.909	449ms	142ms	44.2%	7.8 MB	212.9 MB	1.7 MB	3.8 KB
93	ad/274c9a	2969987	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_REV (WT_REP2)	COMPLETED	0	2026-09-14 11:32:30.946	683ms	304ms	82.7%	6.1 MB	3 GB	3.8 MB	465 KB
90	75/37a470	2969984	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_COMBINED (WT_REP2)	COMPLETED	0	2026-09-14 11:32:30.925	773ms	366ms	87.4%	7.1 MB	3 GB	3.9 MB	783.2 KB
91	99/9452a7	2970457	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2026-09-14 11:32:31.371	445ms	152ms	54.3%	7.8 MB	212.9 MB	3.6 MB	3.8 KB
92	c3/ef882a	2970643	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_FW (WT_REP2)	COMPLETED	0	2026-09-14 11:32:31.642	559ms	244ms	85.8%	10.6 MB	3 GB	3.7 MB	341.5 KB
96	c3/ef5a4e	2970883	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:31.823	488ms	148ms	48.5%	7.8 MB	212.9 MB	3.3 MB	4.5 KB
94	7a/9bfd14	2970766	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_COMBINED (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:31.705	661ms	325ms	95.0%	10.7 MB	3 GB	3.7 MB	931.2 KB
97	fd/9d77a7	2971325	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_REV (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:32.213	628ms	314ms	88.2%	10.6 MB	3 GB	3.5 MB	529.4 KB
98	77/779664	2971400	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_FW (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:32.323	588ms	265ms	85.2%	10.8 MB	3 GB	3.5 MB	420.8 KB
103	75/9d7d56	2971408	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_FW (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:32.340	583ms	282ms	90.9%	10.5 MB	3 GB	3.9 MB	387.6 KB
100	8b/5af68e	2971437	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_REV (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:32.375	589ms	286ms	88.3%	10.6 MB	3 GB	4 MB	511.1 KB
104	68/1eab6e	2972331	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:32:32.924	451ms	140ms	31.3%	3.3 MB	4.6 MB	275.6 KB	2.6 KB
106	b2/d70218	2972377	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:32:32.972	474ms	160ms	33.0%	7.5 MB	209.1 MB	1.7 MB	3.1 KB
101	6e/43bc42	2972215	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV_COMBINED (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:32.850	631ms	325ms	91.6%	10.5 MB	3 GB	4.2 MB	880.5 KB
105	7d/ec3ee1	2972344	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:32:32.938	540ms	231ms	56.2%	8 MB	210.4 MB	1.7 MB	47.6 KB
111	31/245464	2973020	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (WT_REP2)	COMPLETED	0	2026-09-14 11:32:33.384	466ms	166ms	44.4%	7.6 MB	209.1 MB	3.6 MB	3.1 KB
110	ea/8723d9	2973127	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_REP2)	COMPLETED	0	2026-09-14 11:32:33.489	426ms	135ms	33.1%	3.4 MB	4.6 MB	285.3 KB	2.6 KB
112	8a/fbcdfb	2973098	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (WT_REP2)	COMPLETED	0	2026-09-14 11:32:33.455	596ms	286ms	75.4%	8.3 MB	210.4 MB	3.6 MB	77.5 KB
125	bd/444e33	2973698	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:33.933	482ms	154ms	51.7%	7.3 MB	209.1 MB	3.3 MB	3.1 KB
126	b8/6b7645	2973671	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:33.866	656ms	323ms	77.0%	3.4 MB	4.6 MB	3.3 MB	52.1 KB
124	13/ed64dc	2974242	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:34.423	525ms	130ms	34.8%	3.5 MB	4.6 MB	286 KB	2.6 KB
102	2a/766d75	2974465	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:34.957	426ms	143ms	57.4%	7.6 MB	213 MB	3.8 MB	4 KB
146	28/e8b362	2974708	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:36.402	437ms	134ms	40.2%	3.4 MB	4.6 MB	285.5 KB	2.6 KB
144	eb/609466	2974706	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:36.393	490ms	176ms	47.1%	7.5 MB	209.1 MB	3.8 MB	3.1 KB
143	9f/0da8d8	2975126	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:36.849	641ms	310ms	67.5%	8.4 MB	210.6 MB	3.8 MB	76.3 KB
130	04/dc404c	2973845	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:DUPRADAR (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:32:34.063	5.4s	5.1s	85.7%	232.7 MB	1.7 GB	33.2 MB	111.7 KB
120	bf/64e4d2	2973131	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:DUPRADAR (WT_REP2)	COMPLETED	0	2026-09-14 11:32:33.497	6.3s	5.5s	85.4%	233.2 MB	1.7 GB	34.2 MB	104.3 KB
145	8d/1c6e65	2975140	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:DUPRADAR (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:32:36.892	5.1s	4.8s	96.7%	232.8 MB	1.7 GB	35.1 MB	107.7 KB
86	7b/ffdd5e	2979682	NFCORE_RNASEQ:RNASEQ:DESEQ2_QC_PSEUDO	COMPLETED	0	2026-09-14 11:32:42.032	22.8s	22.4s	101.8%	644.7 MB	1.8 GB	82.5 MB	64 KB
87	69/ce5731	2983079	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:SE_TRANSCRIPT_UNIFIED (all_samples)	COMPLETED	0	2026-09-14 11:33:04.883	8.9s	8s	95.3%	474.5 MB	1.5 GB	27.4 MB	18.1 KB
88	8f/3c5b4b	2983631	NFCORE_RNASEQ:RNASEQ:QUANTIFY_PSEUDO_ALIGNMENT:QUANT_TXIMPORT_SUMMARIZEDEXPERIMENT:SE_GENE_UNIFIED (all_samples)	COMPLETED	0	2026-09-14 11:33:13.798	8.2s	7s	101.5%	439.1 MB	1.5 GB	27.4 MB	25.2 KB
89	4a/fb2c8b	2984335	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (WT_REP2)	COMPLETED	0	2026-09-14 11:33:22.017	742ms	0ms	69.5%	3.4 MB	6.4 MB	3.8 MB	104.7 KB
95	f5/c15895	2984518	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:22.767	486ms	0ms	80.4%	5 MB	11.7 MB	3.5 MB	108.3 KB
99	29/1b1f6e	2984703	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-09-14 11:33:23.261	599ms	0ms	84.6%	5.2 MB	11.7 MB	4 MB	108.4 KB
107	3e/58dd67	2984887	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-09-14 11:33:23.869	5.4s	5.1s	241.0%	3.5 GB	15.5 GB	25.2 MB	2.3 MB
108	83/152565	2985994	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (WT_REP2)	COMPLETED	0	2026-09-14 11:33:29.259	448ms	0ms	31.6%	3.6 MB	11.2 MB	302.7 KB	232.6 KB
109	ec/cb4557	2986357	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (WT_REP2)	COMPLETED	0	2026-09-14 11:33:29.716	326ms	1s	65.9%	5.6 MB	18.2 MB	461.8 KB	391.7 KB
113	20/5ae6bf	2986543	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (WT_REP2)	COMPLETED	0	2026-09-14 11:33:30.050	3.5s	3.1s	127.8%	50.9 MB	1.2 GB	21.3 MB	1.8 MB
116	f6/58dea6	2986930	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (WT_REP2)	COMPLETED	0	2026-09-14 11:33:33.554	2s	1.8s	176.6%	52.4 MB	1.3 GB	21.3 MB	36.5 KB
118	45/7e540f	2987377	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (WT_REP2)	COMPLETED	0	2026-09-14 11:33:35.611	1.3s	1s	181.7%	9.9 MB	16.8 MB	15.2 MB	1.5 KB
114	64/94393d	2987577	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (WT_REP2)	COMPLETED	0	2026-09-14 11:33:36.922	1.3s	1s	193.9%	10.1 MB	16.8 MB	15.1 MB	1.2 KB
121	f5/63df70	2987773	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SAMTOOLS_SORT_QUALIMAP (WT_REP2)	COMPLETED	0	2026-09-14 11:33:38.231	608ms	324ms	198.3%	44.5 MB	3.6 GB	7 MB	8.7 MB
117	0a/6f0446	2987999	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (WT_REP2)	COMPLETED	0	2026-09-14 11:33:38.846	1.7s	1.4s	194.8%	51.9 MB	1.3 GB	21.4 MB	89.9 KB
122	90/272599	2988653	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SUBREAD_FEATURECOUNTS (WT_REP2)	COMPLETED	0	2026-09-14 11:33:40.569	502ms	1s	72.4%	4.7 MB	8.1 MB	3.8 MB	7 KB
119	c4/472f0b	2988841	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (WT_REP2)	COMPLETED	0	2026-09-14 11:33:41.079	1.6s	1.4s	198.5%	102.3 MB	2.5 GB	21.3 MB	27.2 KB
115	6c/eba5be	2989163	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (WT_REP2)	COMPLETED	0	2026-09-14 11:33:42.723	1.3s	1s	193.8%	10 MB	16.8 MB	15.1 MB	658 B
123	95/371e56	2989363	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (WT_REP2)	COMPLETED	0	2026-09-14 11:33:44.048	325ms	0ms	55.2%	5.5 MB	18.2 MB	240.9 KB	170.8 KB
128	57/244921	2989551	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:44.380	1.6s	1.3s	196.7%	44 MB	1.2 GB	21.1 MB	90.2 KB
133	69/898b10	2990156	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:45.982	1.6s	1.3s	212.6%	44.2 MB	1.2 GB	21 MB	27.2 KB
131	e4/9837e6	2990479	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:47.595	421ms	0ms	77.8%	12.6 MB	124.7 MB	3.5 MB	6.9 KB
132	b7/c3fc78	2990672	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:48.024	1.1s	851ms	210.2%	9.8 MB	16.8 MB	15 MB	1.5 KB
135	da/b1243d	2990873	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:49.159	768ms	491ms	167.4%	22.6 MB	51.1 MB	6 MB	396 B
129	bd/6e5ece	2991318	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:49.935	1.1s	795ms	217.7%	10.4 MB	16.8 MB	14.8 MB	1.1 KB
134	c7/9dba7f	2991694	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:51.013	1.2s	875ms	208.9%	9.7 MB	16.8 MB	14.9 MB	640 B
127	9b/92a134	2991896	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:BAM_RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:52.174	2.1s	1.8s	181.4%	52.8 MB	1.3 GB	21 MB	49 KB
136	70/a8e702	2992167	NFCORE_RNASEQ:RNASEQ:BAM_QC_RNASEQ:SAMTOOLS_SORT_QUALIMAP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:54.291	603ms	318ms	208.3%	46.6 MB	3.4 GB	6.5 MB	8.7 MB
137	44/c7019e	2992392	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_COMBINED:UCSC_BEDCLIP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:54.902	325ms	0ms	63.8%	5.6 MB	18.2 MB	535.8 KB	465.7 KB
138	7c/573bb2	2992577	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:55.235	327ms	0ms	53.6%	5.9 MB	18.2 MB	334.9 KB	264.8 KB
139	50/da188d	2992944	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_BEDCLIP_BEDGRAPHTOBIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-09-14 11:33:55.570	323ms	0ms	54.9%	5.5 MB	18.2 MB	280.6 KB	210.5 KB
